stage,model,split,metric,value
clf,soft_vote,train,auc,0.5914953558487913
clf,soft_vote,train,ap,0.3821194476413018
clf,soft_vote,train,f1,0.1675544794188862
clf,soft_vote,train,precision,0.40705882352941175
clf,soft_vote,train,recall,0.10548780487804878
clf,soft_vote,val,auc,0.568264210930722
clf,soft_vote,val,ap,0.3305407587892082
clf,soft_vote,val,f1,0.09682832690048666
clf,soft_vote,val,precision,0.33981154299175503
clf,soft_vote,val,recall,0.05645792563600783
clf,soft_vote,test,auc,0.5755816854831423
clf,soft_vote,test,ap,0.34378350539734404
clf,soft_vote,test,f1,0.11868204830276372
clf,soft_vote,test,precision,0.3909240021869874
clf,soft_vote,test,recall,0.06996086105675146
clf,lgbm,train,auc,0.557608600129793
clf,lgbm,val,auc,0.5491964518721798
clf,lgbm,test,auc,0.5493173728979563
clf,et,train,auc,0.6194970695203071
clf,et,val,auc,0.5802763030727925
clf,et,test,auc,0.586117414381192
clf,logreg_enet,train,auc,0.5577174368611758
clf,logreg_enet,val,auc,0.5511505200095793
clf,logreg_enet,test,auc,0.5580496473451045
reg,lgbm,val,rmse,0.005784889157084764
reg,lgbm,test,rmse,0.008479838180396083
reg,et,val,rmse,0.005867042805182404
reg,et,test,rmse,0.00854576036189625
reg,enet,val,rmse,0.0059172815894053925
reg,enet,test,rmse,0.008582318993285787
reg,ensemble,oof,rmse,0.005974775872400363
reg,ensemble,val,rmse,0.005832439926866702
